title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price
"[""The reader"" title info from Sales Book 6, 1885-1892, f.222]; [Liseuse]; Liseuse","LAUGÉE, GEORGES FRANÇOIS PAUL",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Chapman, Henry T. Jr.",Collector,"74 Broadway/340 Clinton Ave Brooklyn, New York, NY, USA","40.707447,-74.011861",1882-01-13,1889-12-12,3675,450
Trompette de Hussards,"NEUVILLE, ALPHONSE MARIE ADOLPHE DE",French,Genre,Painting,,,,Arnold and Tripp,Dealer,"Bishop, Heber R.",Collector,"Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-01-13,1882-02-02,7500,2000
Traineau attaqué par des loups,"THOREN, OTTO, RITTER VON",German,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Barbour, Thomas",Collector,"15 E. 40th St., New York, NY, USA","40.752456,-73.982134",1882-01-13,1882-02-02,3150,1250
Les Presents,"MOREAU, ADRIEN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Combs, A.H.",Collector,"14 S. Portland Ave./45 Broad St. New York, Brooklyn, NY, USA","40.689311,-73.975124",1882-01-13,1882-04-04,3675,1200
Avant le Concert,"MADRAZO Y KUNTZ, FEDERICO DE",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Davis, S.C.",Collector,"4 W. 33rd St., New York, NY, USA","40.747732,-73.985129",1882-01-13,1882-10-10,2250,425
L'Oracle,"PERRAULT, LÉON BAZILE",French,History,Painting,,,,Goupil et Cie.,Dealer,"Horton, Henry Lawrence",Collector,"144 W. 57th St./56 Broadway, New York, NY, USA","40.764914,-73.978103",1882-02-02,1882-03-03,4500,1350
"Arabs en route [title info from Sales Book 5, f.41","SCHREYER, CHRISTIAN ADOLF",German,Genre,Painting,,,,"Howell, Thomas A.",Collector,"Horton, Henry Lawrence",Collector,"144 W. 57th St., New York, NY, USA","40.764914,-73.978103",1882-02-02,1882-04-04,3500,3900
La Pêche à l'epervier,"FIRMIN-GIRARD, MARIE-FRANÇOIS",French,Genre,Painting,,,,"Firmin-Girard, Marie-François",Collector,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-02-02,1882-03-03,5000,1500
jeune femme,"COOMANS, JOSEPH",Belgian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"683 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-02-02,1882-03-03,1050,350
do [jeune femme],"COOMANS, JOSEPH",Belgian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"683 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-02-02,1882-03-03,1050,350
"[""Shepherd and his flock"" title info from Sales Book 5, 1881-1885, f.115]","CERAMANO, CHARLES FERDINAND",Belgian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"King, David James",Collector,"541 Madison Ave., New York, NY, USA","40.760639,-73.973527",1882-02-02,1883-04-04,945,300
figure,"SORBI, RAFFAELLO",Italian,Genre,Painting,,,,"Newcomb, Horatio Victor",Collector,"Flagler, Henry Morrison",Collector,"681 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-02-02,1883-04-04,700,750
Apples,"BROWN, JOHN GEORGE",American,Still Life,Painting,,,,"Newcomb, Horatio Victor",Collector,"Horton, Henry Lawrence",Collector,"144 W. 57th St./56 Broadway, New York, NY, USA","40.764914,-73.978103",1882-02-02,1882-02-02,300,350
winter,"SCHREYER, CHRISTIAN ADOLF",German,Landscape,Painting,,,,"Newcomb, Horatio Victor",Collector,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-02-02,1882-03-03,3800,3900
[Studio]; Studio,"PALMAROLI GONZÁLEZ, VICENTE",Spanish,Genre,Painting,,,,"Newcomb, Horatio Victor",Collector,"Reid, Thomas",Collector,"327 W. 57th St., New York, NY, USA","40.767383,-73.984265",1882-02-02,1885-01-13,750,550
figure,"BRUCK, LAJOS",Hungarian,Genre,Painting,,,,"Newcomb, Horatio Victor",Collector,Schenck's Art Gallery,Dealer,"39 Nassau St., New York, NY, USA","40.70871,-74.009388",1882-02-02,1882-03-03,400,441
making up,"SONDERLAND, JOHANN BAPTIST WILHELM ADOLF",German,Genre,Painting,,,,"Newcomb, Horatio Victor",Collector,"Clyde, W.P.",Collector,"office 35 Broadway/200 Columbia Heights, New York, NY, USA","40.715378,-73.981169",1882-02-02,1882-02-02,300,450
"[""Neapolitan bride and groom"" title info from Sales Book 5, 1881-1885, f.180]; [Cherries]; Cherries","DICHIRICO, GIACOMO",Italian,Still Life,Painting,,,,"Newcomb, Horatio Victor",Collector,"Gotthold, Frederick",Collector,"147 E. 60th St., New York, NY, USA","40.762847,-73.967565",1882-02-02,1884-07-07,500,500
"[""Judith"" title info from Sales Book 5, 1881-1885, f.31]","CONSTANT, JEAN JOSEPH BENJAMIN",French,Portrait,Painting,,,,"Newcomb, Horatio Victor",Collector,"Barbour, Thomas",Collector,"16 E. 41st St., New York, NY, USA","40.752385,-73.980754",1882-02-02,1882-03-03,1650,1650
The young mother,"MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Ayer, Josephine Mellen Southwick",Collector,"5 W. 57th St., New York, NY, USA","40.763087,-73.974031",1882-02-02,1883-01-13,20000,8000
Le moine dentiste,"CASANOVA Y ESTORACH, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Belmont, August",Collector,"109 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-02-02,1882-03-03,9450,2800
Une ruelle a Rome,"TIRATELLI, AURELIO",Italian,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Andrews, William Loring",Collector,"16 E. 36th St., New York, NY, USA","40.749929,-73.98411",1877-01-13,1877-02-02,750,250
"[""The roses"" title info from Sales Book 5, 1881-1885, f. 37]","MENZLER, WILHELM",German,Still Life,Painting,,,,"Stroefer, Theodor",Dealer,"Ives, Brayton C.",Collector,"10 E. 35th St., New York, NY, USA","40.7485,-73.983141",1882-02-02,1882-03-03,2000,1000
Idylle,"DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Fahnestock, Harris Charles",Collector,"Madison Ave., New York, NY, USA","40.742771,-73.986597",1882-02-02,1882-04-04,3150,1000
Liebesbriefleserin,"MEYER, JOHANN GEORG",German,Genre,Painting,,,,"Meyer, Johann Georg",Artist,"Scott, George S.",Collector,"28 W. 57th St./24 Broad St., New York, NY, USA","40.763509,-73.9751",1882-02-02,1882-03-03,12000,3750
The Domino,"MADRAZO Y KUNTZ, FEDERICO DE",Spanish,Genre,Painting,,,,"McLean, Thomas",Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-02-02,1882-04-04,315,2000
"[""Artist painting a Moor"" title info from Sales Book 5, 1881-1885, f.47]","MADRAZO Y GARRETA, RAIMUNDO DE",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Stuart, Robert Leighton",Collector,"152 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-03-03,1882-04-04,4000,1200
Les deux amies,"MERLE, HUGUES",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Raynor, James A.",Collector,"15 36th St., New York, NY, USA","40.749929,-73.98411",1877-01-13,1877-02-02,5000,1750
L'éducation d'un Perroquet,"GISBERT PÉREZ, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Seligman, Isaac Newton",Collector,"26 W. 34th St., New York, NY, USA","40.747857,-73.983356",1882-03-03,1883-02-02,1575,500
Avant les prix,"JULIÁ ENTRAIGUES, RAFAEL",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Schuyler, Spencer D.",Collector,"56 W. 38th St. Bill to 64 Cedar St., New York, NY, USA","40.751657,-73.984133",1882-03-03,1882-03-03,630,200
"[""Comforting the afflicted"" title info from Sales Book 6, 1885-1892, f.19]","JIMÉNEZ ARANDA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Northrup, W.B.",Collector,"8 E. 40th St., New York, NY, USA","40.752215,-73.982011",1882-03-03,1886-03-03,4000,1500
Fumeur Albanais,"GÉRÔME, JEAN LÉON",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Ayer, Josephine Mellen Southwick",Collector,"5 W. 57th St., New York, NY, USA","40.763087,-73.974031",1882-03-03,1883-01-13,28000,7500
Confidence,"JACQUET, GUSTAVE JEAN",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Hartley, Marcellus",Collector,"232 Madison Ave., New York, NY, USA","40.749668,-73.981573",1882-03-03,1882-05-05,20000,5000
Les Foins,"DUPRÉ, JULES",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Riker, John Lawrence",Collector,"19 W. 57th St., New York, NY, USA","40.763281,-73.974381",1882-03-03,1882-04-04,1575,371.25
"[""The waitress"" title info from Sales Book 5, 1881-1885, f.27]","BOUCHARD, PIERRE FRANÇOIS",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Cassilly, C.P.",Collector,"11 E. 47th St., New York, NY, USA","40.756859,-73.978778",1882-03-03,1882-07-07,525,350
Au bord de l'eau,"MOREAU, ADRIEN",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-01-13,1878-02-02,2500,500
"[""Little Italian girl"" title info from Sales Book 5, 1881-1885, f.89]","ZUBER-BÜHLER, FRITZ",Swedish,Genre,Painting,,,,"Halsted, R. H.",Collector,"De Lima, David A.",Collector,"36 E. 57th St., New York, NY, USA","40.763696,-73.975437",1882-04-04,1882-12-12,180,250
historical,"BECKER, KARL LUDWIG FRIEDRICH",German,History,Painting,,,,"Lepke, N.L., Galleries",Dealer,"Stuart, Robert Leighton",Collector,"152 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-03-03,1882-04-04,18000,6000
La Sieste,"KNIGHT, THS. T. [UNIDENTIFIED]",Unknown,Genre,Painting,,,,Goupil et Cie.,Dealer,"Closson, James T.",Collector,"210 Madison Ave., New York, NY, USA","40.748854,-73.982326",1882-03-03,1882-04-04,2625,800
"[""The jolly troopers"" title info from Sales Book 5, 1881-1885, f.52]","ROYBET, FERDINAND LÉON VICTOR",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-04-04,1882-05-05,16800,4500
"[""Luncheon on board"" title info from Sales Book 5, 1881-1885, f.52]","DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-04-04,1882-05-05,4000,1250
"[""The little savoyards"" title info from Sales Book 5, 1881-1885, f.80]","HAGBORG, AUGUST",Swedish,Genre,Painting,,,,Goupil et Cie.,Dealer,"James, Daniel Willis",Collector,"40 E. 39th St., New York, NY, USA","40.750691,-73.980446",1882-04-04,1882-11-11,6300,1750
"[""Head of a little girl"" title info from Sales Book 5, 1881-1885, f.46]","EPP, RUDOLF",German,Genre,Painting,,,,"Epp, Rudolf",Collector,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-03-03,1882-04-04,400,200
"[""The happy age of childhood"" title info from Sales Book 5, 1881-1885, f.47]","COOMANS, JOSEPH",Belgian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Stuart, Robert Leighton",Collector,"152 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-04-04,1882-04-04,4200,1200
"[""French artillery"" title info from Sales Book 5, 1881-1885, f.208]","WALKER, JAMES ALEXANDER",British,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Hill, Warren E.",Collector,"438 Washington Ave., Brooklyn, NY, USA","40.685916,-73.965474",1882-04-04,1885-03-03,2625,650
Le Refus,"BROZIK, WENZEL VON",Bohemian,Genre,Painting,,,,"Sedelmeyer, (Charles), Gallery",Dealer,"Stuart, Robert Leighton",Collector,"152 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-04-04,1882-04-04,7500,2000
"[""Happy home"" title info from Sales Book 5, 1881-1885, f.51]","GABL, ALOIS",German,Genre,Painting,,,,"Stroefer, Theodor",Dealer,"Glazier, Isaac",Collector,"18 E. 67th St., New York, NY, USA","40.768857,-73.968467",1882-04-04,1882-05-05,5000,1800
"[""Puzzled"" title info from Sales Book 5, 1881-1885, f.13]","KOTSCHENREITER, HUGO",German,Genre,Painting,,,,"Stroefer, Theodor",Dealer,"Stuart, Robert Leighton",Collector,"152 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-04-04,1882-04-04,325,300
Chasseur a pied Sergt major,"NEUVILLE, ALPHONSE MARIE ADOLPHE DE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Bishop, Heber R.",Collector,"985 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-04-04,1882-05-05,7500,2150
Le malheureux chat,"HERNANDEZ, DANIEL",Peruvian,Genre,Painting,,,,Goupil et Cie.,Dealer,"Astor, William Backhouse",Collector,"350 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1877-01-13,1877-05-05,900,350
"[""A game of chess"" title info from Sales Book 6, 1885-1892, f.17]; [Un Café au Caire]; Un Café au Caire","CHLEBOWSKI, STANISLAW",Polish,Genre,Painting,,,,Goupil et Cie.,Dealer,"Scott, George S.",Collector,"28 W. 57th St., New York, NY, USA","40.763509,-73.9751",1882-04-04,1886-03-03,3500,850
Après le Bal,"CONSTANT, JEAN JOSEPH BENJAMIN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Ayer, Josephine Mellen Southwick",Collector,"7 W. 57th St., New York, NY, USA","40.763115,-73.974081",1882-04-04,1883-01-13,7350,2000
Dans l'atelier,"PIOT, ANTOINE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-04-04,1882-07-07,6300,2500
"[""Trophies of the hunt"" title info from Sales Book 5, 1881-1885, f.63]","RÄUBER, WILHELM CARL",German,Genre,Painting,,,,"Stroefer, Theodor",Dealer,"Gould, Jason (Jay)",Collector,"579 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-04-04,1882-07-07,4000,1650
Le Ménestrel,"LEYS, HENDRIK, BARON",Belgian,Genre,Painting,,,,Goupil et Cie.,Dealer,"Rockefeller, William Avery Jr.",Collector,"689 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-05-05,1882-05-05,27500,7500
Les Chrysantèmes,"CHARNAY, ARMAND",French,Still Life,Painting,,,,Goupil et Cie.,Dealer,"Huntington, Arabella D., Mrs.",Collector,"4 W. 54th St., New York, NY, USA","40.761003,-73.975459",1877-01-13,1877-07-07,1000,300
"[""Morning in the Highlands"" title info from Sales Book 5, 1881-1885, f.56]","BONHEUR, ROSA",French,Landscape,Painting,,,,Tedesco Frères,Dealer,"Rockefeller, William Avery Jr.",Collector,"689 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-05-05,1882-05-05,50000,13500
"[""The uncle's visit"" title info from Sales Book 5, 1881-1885, f.58]","BROZIK, WENZEL VON",Bohemian,Genre,Painting,,,,"Sedelmeyer, (Charles), Gallery",Dealer,"Bishop, Heber R.",Collector,"285 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-05-05,1882-05-05,10500,3100
"[""Mending an umbrella"" title info from Sales Book 5, 1881-1885, f.61]","TAMBURINI, E. [UNIDENTIFIED]",Unknown,Genre,Painting,,,,Wallis and Son,Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-05-05,1882-06-06,30,250
A Daughter of Toil,"BRETON, JULES ADOLPHE AIMÉ LOUIS",French,Genre,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-05-05,1882-06-06,300,2000
Au jardin du Luxembourg,"GARRIDO, EDUARDO LEÓN",Spanish,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Hilton, Henry",Collector,"630 Fifth Ave., New York, NY, USA","40.76457,-73.973636",1877-01-13,1877-03-03,1000,250
Fille du pêcheur,"BRETON, JULES ADOLPHE AIMÉ LOUIS",French,Genre,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Barger, Samuel F.",Collector,"17 W. 33rd St., New York, NY, USA","40.748042,-73.98538",1882-05-05,1882-06-06,600,4000
Meditation,"MERLE, HUGUES",French,Genre,Painting,,,,"Goupil Gallery, Ltd.",Dealer,"Seney, George Ingraham",Collector,"123 Remsen St., Brooklyn, NY, USA","40.693907,-73.993812",1882-05-05,1882-06-06,280,1800
[Untitled],"BONHEUR, ROSA",French,,Painting,,,,Tedesco Frères,Dealer,"Bostwick, Jabez A.",Collector,"881 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-06-06,1883-01-13,55000,5000
"[""Winter travel in Russia"" title info from Sales Book 5, 1881-1885, f.71]","SCHREYER, CHRISTIAN ADOLF",German,Landscape,Painting,,,,Tedesco Frères,Dealer,"Vanderbilt, Frederick William",Collector,"Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-06-06,1882-10-10,18500,5000
"[""Before the court"" title info from Sales Book 5, 1881-1885, f.84]","KOTSCHENREITER, HUGO",German,Genre,Painting,,,,"Stroefer, Theodor",Dealer,"Bertschmann, E., Mrs.",Collector,"119 E. 25th St., New York, NY, USA","40.74079,-73.983812",1882-06-06,1882-12-12,2000,900
"[""Roman banquet 3rd century"" title info from Sales Book 5, 1881-1885, f.69]","BAUR, ALBERT (1835)",German,History,Painting,,,,F.G. Conzen,Dealer,"Bishop, Heber R.",Collector,"995 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-06-06,1882-10-10,5260,2000
Taureau poursuivant Evèques,"VIBERT, JEHAN GEORGES",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Rockefeller, William Avery Jr.",Collector,"off. 44 Broadway, New York, NY, USA","40.815155,-73.957828",1882-06-06,1882-08-08,10000,2659.18
"[""The drummer tambour"" title info from Sales Book 5, 1881-1885, f.88]","LESREL, ADOLPHE ALEXANDRE",French,Genre,Painting,,,,"Morris, Schwab & Company Art Galleries",Dealer,"Dorsheimer, William",Collector,"101 Park Ave./115 Broadway, New York, NY, USA","40.750842,-73.978607",1882-07-07,1882-12-12,205,250
Apres le bal; Après le bal,"CONSTANT, JEAN JOSEPH BENJAMIN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"681 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-08-08,1883-06-06,5250,1400
Idylle,"MOREAU, ADRIEN",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Weld, Charles Goddard",Collector,"160 Chambers St., New York, NY, USA","40.71603,-74.010238",1882-08-08,1883-06-06,4725,1200
Le Mari,"RICHET, LÉON",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"681 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-08-08,1883-03-03,945,300
Automne,"WALKER, JAMES ALEXANDER",British,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"De Coppet, H.",Collector,"22 W. 17th St., New York, NY, USA","40.738133,-73.992769",1882-08-08,1883-04-04,2625,700
Paysages,"TROUILLEBERT, PAUL DÉSIRÉ",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"De Lima, David A.",Collector,"36 E. 57th St., New York, NY, USA","40.763696,-73.975437",1882-08-08,1882-12-12,210,175
Paysages,"TROUILLEBERT, PAUL DÉSIRÉ",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Pyne, Percy Rivington",Collector,"E. 22nd St.SA, New York, NY, USA","40.74088,-73.99007",1882-08-08,1882-12-12,630,400
"[""Returning from the woods"" title info from Sales Book 5, 1881-1885, f.214]; 2 figures dans un paysage; 2 Figures dans un paysage","RICHET, LÉON",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Slayback, John D.",Collector,"416 Madison Ave./84 Broadway, New York, NY, USA","40.756756,-73.976505",1882-08-08,1883-03-03,2310,350
Les Saltembanques,"CASANOVA Y ESTORACH, ANTONIO",Spanish,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Dunning, Edward J., Jr.",Collector,"63 Wall St., New York, NY, USA","40.705818,-74.008669",1882-08-08,1882-08-08,9450,2500
Temps de neige,"WALKER, JAMES ALEXANDER",British,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Dorsheimer, William",Collector,"101 Park Ave., New York, NY, USA","40.750842,-73.978607",1882-08-08,1883-06-06,750,250
"[""Opening of the will"" title info from Sales Book 5, 1881-1885, f.117]","GRISON, ADOLPHE",French,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Weld, Charles Goddard",Collector,"160 Chambers St., New York, NY, USA","40.71603,-74.010238",1882-08-08,1883-04-04,11000,3350
"[""Church interior after service"" title info from Sales Book 5, 1881-1885, f.71]","VILLEGAS Y CORDERO, JOSÉ",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Vanderbilt, Frederick William",Collector,"Fifth Ave., New York, NY, USA","40.76457,-73.973636",1882-08-08,1882-10-10,12000,4500
"[""Spanish throne room"" title info from Sales Book 5, 1881-1885, f.179]","MADRAZO Y GARRETA, RICARDO DE",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1882-08-08,1884-06-06,4000,1000
Armourer's shop,"MUNEZ, D. [UNIDENTIFIED]",Unknown,Genre,Painting,,,,"Tooth, (Arthur), and Sons",Dealer,"Trotter, Theodore Van Antwerp",Collector,"11 E. 55th St., New York, NY, USA","40.761553,-73.974558",1882-08-08,1882-12-12,32,475
L'alouette,"BASTIEN-LEPAGE, JULES",French,Animals,Painting,,,,"Tooth, (Arthur), and Sons",Dealer,"Cooper, George Campbell",Collector,"113 E. 21st St., New York, NY, USA","40.741828,-73.993965",1882-08-08,1883-01-13,350,2500
A quiet nook,"NEUHUYS, JOSEPH HENDRIKUS",Dutch,Genre,Painting,,,,"Tooth, (Arthur), and Sons",Dealer,"Farrington, Edward A.",Collector,"7 E. 48th St./31 Broad St., New York, NY, USA","40.757406,-73.978181",1882-08-08,1882-11-11,30,350
Pair heads,"TAMBURINI, ARNALDO",Italian,Genre,Painting,,,,"Tooth, (Arthur), and Sons",Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-08-08,1882-10-10,18,200
[Le jour de Noël]; Le jour de Noel; Le jour de Noël,"ALVAREZ CATALA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,Schenck's Art Gallery,Dealer,"77 Cedar St., New York, NY, USA","40.707292,-74.008296",1882-08-08,1889-03-03,8000,1056.64
Pendant l'alarme,"ALVAREZ CATALA, LUIS",Spanish,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Farrington, Edward A.",Collector,"7 E. 48th St./31 Broad St., New York, NY, USA","40.757406,-73.978181",1882-08-08,1882-10-10,5500,1500
"[""Rural courtship"" title info from Sales Book 5, 1881-1885, f.171]; [Untitled]","PERRET, AIMÉ",French,Genre,Painting,,,,"Reitlinger, Frédéric, Galerie",Dealer,"Rhines, J.O.",Collector,"49 W. 51st St., New York, NY, USA","40.758358,-73.974749",1882-08-08,1884-04-04,1200,250
La Lettre,"TOULMOUCHE, AUGUSTE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Smith, L.H.",Collector,"5 E. 44th St., New York, NY, USA","40.754756,-73.979737",1882-08-08,1883-01-13,2000,775
L'orage,"BOUGUEREAU, ADOLPHE WILLIAM",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Chanler, John Winthrop",Collector,"192 Madison Ave./111 Broadway, New York, NY, USA","40.748135,-73.982839",1877-02-02,1877-04-04,20000,5000
Orientale,"TOULMOUCHE, AUGUSTE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-08-08,1882-09-09,4500,1133.67
Confidence,"TOULMOUCHE, AUGUSTE",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-08-08,1882-09-09,8000,2300
Le Crépuscule,"BOUGUEREAU, ADOLPHE WILLIAM",French,Landscape,Painting,,,,Goupil et Cie.,Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-08-08,1882-09-09,20000,5800
Paysage,"RICHET, LÉON",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Flagler, Henry Morrison",Collector,"681 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-08-08,1883-03-03,1680,500
[La Charmeuse]; La Charmeuse,"VILLA, ÉMILE",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Kuttroff, Adolph",Collector,"17 E. 69th St., New York, NY, USA","40.769847,-73.966847",1882-08-08,1885-01-13,4725,1800
Les roses,"VERNON, PAUL",French,Still Life,Painting,,,,Bulla Frères et Jouy,Dealer,"Buchanan, William (New York)",Collector,"61 Park Ave., New York, NY, USA","40.749412,-73.979632",1882-08-08,1883-05-05,1575,500
"[""Gathering flowers"" title info from Sales Book 5, 1881-1885, f.177]; M.d de fleurs; Md. De fleurs","SEIGNAC, PAUL",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Hagemeyer, George",Collector,"107 Kent St., Brooklyn, NY, USA","40.730757,-73.95697",1882-08-08,1884-06-06,840,225
Cacolat,"SEIGNAC, PAUL",French,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Bostwick, Jabez A.",Collector,"881 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-08-08,1883-01-13,840,350
Pluie d'automne,"CHARNAY, ARMAND",French,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Connor, Washington Everett",Collector,"14 E. 45th St., New York, NY, USA","40.755509,-73.979825",1882-08-08,1882-10-10,4500,1400
"[""Norwegian harbor at moonlight"" title info from Sales Book 5, 1881-1885, f.69]","WAHLBERG, ALFRED",Swedish,Landscape,Painting,,,,Bulla Frères et Jouy,Dealer,"Bishop, Heber R.",Collector,"995 Fifth Ave., New York, NY, USA","40.806416,-73.942262",1882-08-08,1882-10-10,2500,800
Le peintre,"CORTAZZO, ORESTE",Italian,Genre,Painting,,,,Bulla Frères et Jouy,Dealer,"Rochette, Charles",Collector,"37 W. 53rd St., New York, NY, USA","40.760831,-73.976423",1882-08-08,1882-09-09,500,200
Sir Walter Raleigh,"BOUTIBONNE, EDOUARD",French,Portrait,Painting,,,,Goupil et Cie.,Dealer,"Hilton, Henry",Collector,"7 W. 34th St., New York, NY, USA","40.748349,-73.984243",1877-02-02,1878-02-02,6000,1000
